Bohumín,Bohumin
Bohumín-Vrbice,Bohumin Vrbice
Budzieszowice,Budziszowice
Forst (Lausitz),Forst Lausitz
Frankfurt (Oder),Frankfurt/Oder
Görlitz,Goerlitz
Meziměstí,Mezimesti
Skoki-Borowa,Skoki - Borowa
