station,lat,lon
Bursztynowo,53.4013918,19.0699968
Busko-Zdrój,50.4619429,20.6853416
Byczyna Kluczborska,51.1137155,18.1998832
Bydgoszcz Akademia,53.1408643,18.1376313
Bydgoszcz Bielawy,53.1318249,18.0532565
Bydgoszcz Brdyujście,53.1334401,18.1109012
Bydgoszcz Błonie,53.1183445,17.9516345
Bydgoszcz Fordon,53.1464952,18.1578364
Bydgoszcz Główna,53.1352905,17.991601
Bydgoszcz Leśna,53.1438546,18.0318251
Bydgoszcz Osowa Góra,53.1476317,17.9135468
Bydgoszcz Wschód,53.1278962,18.0838582
Bydgoszcz Zachód,53.1360746,17.9488566
Bydgoszcz Łęgnowo,53.1071543,18.1126399
Bystra Podhalańska,49.6589124,19.7869805
Bystrzyca Kłodzka,50.2968844,16.654958
Bystrzyca Kłodzka Przedmieście,50.2856474,16.6470179
Bystrzyca koło Lublina,51.3484549,22.637658
Bytnica,52.1314973,15.147861
Bytom,50.3428344,18.9121893
Bytom Karb,50.3517998,18.8820999
Bytom Odrzański,51.726452,15.8211407
Bytom Północny,50.3779658,18.8805036
Bąków,50.9561237,18.3145752
Będziemyśl,50.0665645,21.7739017
Będzin,50.3089738,19.14141
Będzin Ksawera,50.330613,19.1584745
Będzin Miasto,50.319188,19.135537
Będzino,54.2112104,15.9924468
Będów,52.0734107,15.3112522
Będźmierowice,53.7879622,18.0427552
Błaszki,51.673683,18.471086
Błonie,52.1865382,20.6076933
Błotnica Strzelecka,50.4844577,18.4026962
Błądzim,53.4760582,18.1150989
Cegłów,52.1484505,21.7361713
Cekcyn,53.5763468,18.0275776
Celestynów,52.057771,21.3938523
Chabówka,49.5970595,19.9372835
Charsznica,50.3961754,19.9406053
Chałupki,49.9259204,18.311311
Chałupy,54.7615324,18.5025954
Chechło,51.6449462,19.2865151
Chełm,51.1412932,23.4937476
Chełm Miasto,51.1380549,23.458321
Chełm Śląski,50.1093504,19.1838404
Chełmek Wołowski,51.4560519,16.359486
Chełmża,53.1852091,18.5978982
Chludowo,52.5603266,16.8252994
Chmielniki Bydgoskie,53.0016213,18.0501366
Chmielów Zagumnie,50.5233395,21.6858232
Chocicza,52.0702477,17.3495687
Chociszew,51.9237991,19.2672301
Chociwel,53.4705758,15.3357866
Chocznia,49.8741412,19.4519813
Chocznia Górna,49.8625599,19.4320468
Chodzież,52.9939332,16.9095423
Chojna,52.9633511,14.4443258
Chojnice,53.6890673,17.5777493
Chojnik,49.8508561,20.9834796
Chojnów,51.2776726,15.9374714
Chorzów Batory,50.2784252,18.9446804
Chorzów Miasto,50.2985177,18.9494087
Chorzów Stary,50.3164554,18.9574773
Choszczno,53.1654635,15.4033053
Chotomów,52.4157092,20.8847443
Chotyłów,51.9968452,23.3559392
Chrosna,52.031452,21.4485001
Chrośnica,52.2813762,15.991727
Chrusty Nowe,51.6948657,19.7943261
Chruszczobród,50.4003509,19.3290255
Chrząstawa Mała,51.073494,17.2761383
Chrząstowice,50.6605705,18.0747575
Chrząstowice Olkuskie,50.3451162,19.686095
Chrzęsne,52.4471056,21.4746335
Chróstnik,51.3559935,16.1809737
Chróścice,50.7927523,17.8168074
Chróścina Nyska,50.6167705,17.3782591
Chróścina Opolska,50.6698356,17.8181411
Chybie,49.892758,18.809291
Chybie Mnich,49.8873185,18.8205444
Chynów,51.9027315,21.1006911
Chytra,52.7390429,23.5150058
Ciasna,50.7563138,18.629458
Ciechanowice,50.865419,15.9798559
Ciechanów,52.8834587,20.5912409
Ciecierzyn,51.3189376,22.6081345
Cienin,52.272545,17.9661231
Cienin Kościelny,52.2700605,18.0095221
Cieplewo,54.2336094,18.6475876
Cierpice Kąkol,52.9918988,18.4465382
Cierpigórz,52.2260596,22.5947786
Cieszków,51.6313553,17.3526175
Cieszyn,49.7512354,18.636478
Cieszyn Marklowice,49.7846361,18.6039924
Cikowice,49.9849217,20.3806565
Cisie,52.2099706,21.3904851
Cisiec,49.5835029,19.1055386
Cięcina,49.6095576,19.1362578
Cięcina Dolna,49.6215324,19.1519852
Cmolas,50.2939238,21.7520752
Cygany,50.5127733,21.6970132
Czachówek Górny,51.9680685,21.0774912
Czachówek Południowy,51.9586358,21.0814363
Czachówek Wschodni,51.9734724,21.104208
Czarlin,54.0481577,18.7668156
Czarna Białostocka,53.305864,23.2798443
Czarna Tarnowska,50.06041,21.2487034
Czarna Woda,53.8512071,18.1086364
Czarnca,50.8238886,19.9446978
Czarniecka Góra,51.1436799,20.518553
Czarnków,,
Czarny Blok,53.2492124,23.2093638
Czastary,51.2742553,18.3360358
Czechowice-Dziedzice,49.9153604,19.0066519
Czechowice-Dziedzice Południowe,49.890182,19.0243244
Czechowice-Dziedzice Przystanek,49.9057537,19.0223872
Czechowizna,53.3511838,22.8368452
Czekanów,51.6854689,17.8605973
Czempiń,52.1387148,16.7521038
Czepino,53.2848048,14.5124797
Czeremcha,52.5187507,23.3535138
Czerna,51.7022571,15.88455
Czerna Mała,51.2299733,16.8035361
Czernica Wrocławska,51.0496835,17.2358061
Czerniewice,52.5089241,19.0893425
Czersk,53.8007219,17.970593
Czersk Świecki,53.5514302,18.4675796
Czerwieńsk,52.0151544,15.4124967
Czerwionka,50.148788,18.6851834
Czerwionka Dębieńsko,50.1566873,18.6643017
Czerwonak,52.4684566,16.9798479
Czerwonak Osiedle,52.4800088,16.9780464
Czerwonka,53.9143727,20.8937485
Czeska Wieś,50.7580652,17.4593743
Czesławice,51.3076439,22.2630048
Czudec,49.9403101,21.8333148
Czuprynowo,53.4722358,23.63164
Czyżew,52.7997433,22.3421671
Czyżowice,49.9740476,18.4253931
Częstochowa,50.8084279,19.1209688
Częstochowa Aniołów,50.8352835,19.1516348
Częstochowa Gnaszyn,50.7915868,19.0290478
Częstochowa Raków,50.7876286,19.1554329
Częstochowa Stradom,50.7973211,19.1069996
Dalekie,52.6824722,21.4943451
Daleszewo,53.3062847,14.5290783
Dalęcino,53.7478774,16.6084745
Damnica,54.4980115,17.2700464
Daszewo,54.0773349,15.8747856
Dobczyn,52.3788971,21.3131866
Dobiegniew,52.9683724,15.7470574
Dobieszyn,51.6309275,21.1763971
Dobrocin,53.9100343,19.8291421
Dobroszyce,51.2705063,17.3637981
Dobrowoda,52.5617949,23.3915861
Dobroń,51.6293558,19.2408357
Dobrynka,51.9985706,23.4414205
Dobryszyce koło Radomska,51.1242909,19.4443235
Dobrzechów,49.8728585,21.7436593
Dobrzeń Wielki,50.7720221,17.8594832
Dobrzykowice Wrocławskie,51.0875528,17.1800256
Dobrzyniewo Duże,53.1943888,23.0028314
Dobrzyń,53.4342289,20.3865709
Dolice,53.1988317,15.2102961
Dolna Odra,53.2113111,14.4809594
Domaniewice,52.02057,19.8210551
Domaniewice Centrum,52.0118913,19.7919217
Domanin,51.3443616,17.995327
Domaszków,50.2131508,16.6552382
Domaszowice,51.0486497,17.883251
Domasław,51.0100526,16.9529393
Dominów,51.2123202,22.8435885
Dopiewo,52.3537457,16.6779731
Dorohusk,51.17204,23.7834279
Drawiny,52.8966387,15.9514176
Drawski Młyn,52.8599214,16.0940344
Drogomyśl,49.8868586,18.7580011
Drużyna Poznańska,52.2100916,16.8236827
Drygały,53.6792098,22.1039768
Drzewce,52.2694389,15.161704
Drzeńsko,52.3698187,14.7714401
Drzymałowo,52.1569819,16.2968953
Dubielno,53.508756,18.5565878
Dulowa,50.1404441,19.5207498
Dunowo,54.1218364,16.0912585
Duszniki-Zdrój,50.4090324,16.3858127
Dygowo,54.1407071,15.7267013
Dytmarów,50.3298343,17.6765639
Dziadówki,50.399151,20.008372
Działdowo,53.2379827,20.1677473
Dziembówko,53.0707704,16.8152757
Dziemiany Kaszubskie,54.0114862,17.7752547
Dziergowice,50.2418342,18.3008152
Dzierżoniów Śląski,50.7243526,16.6407227
Dzierżążno,54.3152372,18.2640758
Dziewule,52.0480131,22.3846302
Dąbroszyn,52.6189129,14.7124807
Dąbrowa Białostocka,53.647936,23.3650907
Dąbrowa Chełmińska,53.1752542,18.2819661
Dąbrowa Górnicza,50.330374,19.1848234
Dąbrowa Górnicza Gołonóg,50.343952,19.2262466
Dąbrowa Górnicza Sikorka,50.3889509,19.2991058
Dąbrowa Górnicza Strzemieszyce,50.3109483,19.2681093
Dąbrowa Górnicza Wschodnia,50.3033648,19.3112813
Dąbrowa Górnicza Ząbkowice,50.3665939,19.2646845
Dąbrowa Niemodlińska,50.6915759,17.753867
Dąbrowa Oleśnicka,51.2300777,17.3689153
Dąbrowy,53.5173689,18.4895126
Dęba Rozalin,50.4288076,21.7431315
Dębe Wielkie,52.1991974,21.4227753
Dębica,50.0539304,21.4041528
Dębica Wschodnia,50.0624594,21.4489028
Dęblin,51.5783347,21.8340731
Dębska Kuźnia,50.6642957,18.1126867
Dębska Wola,50.7021954,20.5979011
Długi Kąt,50.4824342,23.1020525
Długie,49.5781302,22.0495087
Długopole-Zdrój,50.2384136,16.6379329
Długołęka,51.1784645,17.1944543
Elbląg,54.1509826,19.4155509
Ełk,53.8255962,22.3620002
Ełk Szyba Wschód,53.8011228,22.3728312
Ełk Szyba Zachód,53.8023173,22.3703313
Fasty,53.1767248,23.0250427
Fałkowo,52.4984566,17.4239904
Firlus,53.2696586,18.6295832
Fiszewo,54.0676284,19.2490356
Forst Lausitz,51.7389354,14.637064
Fosowskie,50.6605459,18.359882
Frankfurt/Oder,52.3365359,14.5466945
Fronołów,52.3608239,22.9290509
Frysztak,49.8315538,21.6181809
Gajówka,50.3946262,19.878614
Gamerki Wielkie,53.8449437,20.1385158
Garbce,51.5126748,16.8902009
Garczegorze,54.5896389,17.7030604
Garki,51.5398821,17.648675
Garwolin,51.9018979,21.5534715
Gawrony,52.1125846,19.2198214
Gałkówek,51.7298223,19.7318181
Gdańsk Brętowo,54.3651261,18.5735495
Gdańsk Główny,54.3564345,18.6441946
Gdańsk Jasień,54.3536518,18.5500839
Gdańsk Kiełpinek,54.3553796,18.5284794
Gdańsk Lipce,54.3015204,18.6358986
Gdańsk Matarnia,54.3735398,18.506331
Gdańsk Niedźwiednik,54.3781238,18.5720594
Gdańsk Oliwa,54.4098972,18.5718547
Gdańsk Oliwa SKM,,
Gdańsk Orunia,54.324252,18.6344756
Gdańsk Osowa,54.4222198,18.4526329
Gdańsk Politechnika,54.3741905,18.6274077
Gdańsk Port Lotniczy,54.3827919,18.4663071
Gdańsk Przymorze-Uniwersytet,,
Gdańsk Rębiechowo,54.3874918,18.4463312
Gdańsk Stadion Expo,54.387496,18.6331559
Gdańsk Stocznia,54.3646358,18.6417851
Gdańsk Strzyża,54.3917637,18.5788423
Gdańsk Wrzeszcz,54.3817696,18.6055111
Gdańsk Zaspa,54.3897726,18.591526
Gdańsk Śródmieście,54.3468793,18.6443526
Gdańsk Żabianka-AWFiS,,
Gdynia Chylonia,54.5457503,18.4636617
Gdynia Cisowa,54.5498083,18.4471926
Gdynia Grabówek,,
Gdynia Główna,54.5216208,18.5274712
Gdynia Karwiny,54.4698814,18.5088468
Gdynia Leszczynki,,
Gdynia Orłowo,54.4766459,18.5486299
Gdynia Orłowo SKM,54.4767414,18.5489769
Gdynia Redłowo,54.4915242,18.5383657
Gdynia Stadion,54.4961509,18.5332216
Gdynia Stocznia-Uniwersytet Morski,,
Gdynia Wzgórze Św.Maksymiliana,,
Geniusze,,
Gierałtów,51.1920636,15.2998556
Gierałtów Wykroty,51.2168129,15.2845742
Gierwaty,52.9926109,21.6039595
Gilów,51.1198996,20.7288347
Giżycko,54.0312055,21.778565
Gliniczek,49.7369997,21.538517
Gliniszcze,53.4658825,23.5011292
Glinnik,51.8869356,19.4972015
Glinnik Wieś,51.8825416,19.4816397
Gliwice,50.3010936,18.6769406
Gliwice Kuźnica,50.3567359,18.6213817
Gliwice Łabędy,50.3409131,18.6219002
Gniewkowo,52.8880687,18.4039475
Gniezno,52.5296664,17.6032272
Goczałkowice,49.9444165,18.9666496
Goczałków,51.0084324,16.3253301
Godki,53.8175782,20.2502676
Godków,52.901331,14.4585631
Godętowo,54.581917,17.8632338
Goerlitz,49.6634514,21.1625883
Gogolin,50.493165,18.0186011
Goleniów,53.5594624,14.839589
Golina,51.9062688,17.4595955
Golęczewo,52.5348561,16.8279232
Gomunice,51.1635621,19.4867937
Goniądz,53.4593883,22.7263194
Gorlice Zagórzany,49.6941177,21.1954305
Gorzanów,50.3543949,16.6409172
Gorzelin,51.3285117,16.1810408
Gorzkowice,51.2182938,19.603241
Gorzuchowo Chełmińskie,53.3507359,18.693451
Gorzów Wielkopolski,52.7275789,15.2285293
Gorzów Wielkopolski Wieprzyce,52.7180912,15.1815438
Gorzów Wielkopolski Wschodni,52.7318467,15.2492525
Gorzędów,51.1970504,19.5440164
Gostynin,52.4334171,19.4761741
Goszcza,50.1846506,20.0612274
Goszczowice,50.5730563,17.6221576
Goworowo,52.9210371,21.5819266
Gołaszewo Kujawskie,52.5468201,19.091124
Gołańcz,52.9474493,17.3058774
Gołubie Kaszubskie,54.2124619,18.0367211
Gołąb,51.5052883,21.9099476
Gościcino Wejherowskie,54.60506,18.1610766
Gośniewice,51.8162872,21.139863
Grabiny,50.0460293,21.3326192
Grabniak,51.7124353,21.7052659
Grabowno Wielkie,51.34322,17.403474
Grabów Szlachecki,51.7038252,22.0966378
Grabów nad Pilicą,51.7420407,21.1821052
Grajewo,53.650103,22.448183
